id,nama,kode,tingkat
100054,Aceh,11,1
191103,Bali,51,1
191100,Banten,36,1
191092,Bengkulu,17,1
191098,Daerah Istimewa Yogyakarta,34,1
191095,Dki Jakarta,31,1
191053,Gorontalo,75,1
191089,Jambi,15,1
191096,Jawa Barat,32,1
191097,Jawa Tengah,33,1
191099,Jawa Timur,35,1
191101,Kalimantan Barat,61,1
191106,Kalimantan Selatan,63,1
191102,Kalimantan Tengah,62,1
191107,Kalimantan Timur,64,1
191108,Kalimantan Utara,65,1
191094,Kepulauan Bangka Belitung,19,1
191091,Kepulauan Riau,21,1
191093,Lampung,18,1
191115,Maluku,81,1
191116,Maluku Utara,82,1
191104,Nusa Tenggara Barat,52,1
191105,Nusa Tenggara Timur,53,1
191117,Papua,91,1
191118,Papua Barat,92,1
191121,Papua Barat Daya,96,1
191120,Papua Pegunungan,95,1
191114,Papua Selatan,93,1
191119,Papua Tengah,94,1
191088,Riau,14,1
191113,Sulawesi Barat,76,1
191111,Sulawesi Selatan,73,1
191110,Sulawesi Tengah,72,1
191112,Sulawesi Tenggara,74,1
191109,Sulawesi Utara,71,1
191087,Sumatera Barat,13,1
191090,Sumatera Selatan,16,1
191086,Sumatera Utara,12,1
